Domain Name,Domain Type,Agency,City,State
17498neuenkirchen.de,City,Non-Federal Agency,Neuenkirchen,MV
84098-hohenthann.de,City,Non-Federal Agency,Hohenthann,BY
95186-hoechstaedt.de,City,Non-Federal Agency,Höchstädt im Fichtelgebirge,BY
aach.de,City,Non-Federal Agency,Aach,BW
aachen.de,City,Non-Federal Agency,Aachen,NW
aalen.de,City,Non-Federal Agency,Aalen,BW
aarbergen.de,City,Non-Federal Agency,Aarbergen,HE
abenberg.de,City,Non-Federal Agency,Abenberg,BY
abensberg.de,City,Non-Federal Agency,Abensberg,BY
abentheuer.de,City,Non-Federal Agency,Abentheuer,RP
absberg.de,City,Non-Federal Agency,Absberg,BY
abstatt.de,City,Non-Federal Agency,Abstatt,BW
abtsgmuend.de,City,Non-Federal Agency,Abtsgmünd,BW
abtsteinach.de,City,Non-Federal Agency,Abtsteinach,HE
abtswind.de,City,Non-Federal Agency,Abtswind,BY
abtweiler.de,City,Non-Federal Agency,Abtweiler,RP
achberg.de,City,Non-Federal Agency,Achberg,BW
achern.de,City,Non-Federal Agency,Achern,BW
achim.de,City,Non-Federal Agency,Achim,NI
achslach.de,City,Non-Federal Agency,Achslach,BY
achstetten.de,City,Non-Federal Agency,Achstetten,BW
achterwehr.de,City,Non-Federal Agency,Achterwehr,SH
achtrup.de,City,Non-Federal Agency,Achtrup,SH
adelberg.de,City,Non-Federal Agency,Adelberg,BW
adelebsen.de,City,Non-Federal Agency,Adelebsen,NI
adelmannsfelden.de,City,Non-Federal Agency,Adelmannsfelden,BW
adelsdorf.de,City,Non-Federal Agency,Adelsdorf,BY
adelsheim.de,City,Non-Federal Agency,Adelsheim,BW
adelshofen.de,City,Non-Federal Agency,Adelshofen,BY
adelsried.de,City,Non-Federal Agency,Adelsried,BY
adelzhausen.de,City,Non-Federal Agency,Adelzhausen,BY
adenau.de,City,Non-Federal Agency,Dorsel,RP
adenbuettel.de,City,Non-Federal Agency,Adenbüttel,NI
adendorf.de,City,Non-Federal Agency,Adendorf,NI
adlkofen.de,City,Non-Federal Agency,Adlkofen,BY
adorf-vogtland.de,City,Non-Federal Agency,Adorf/Vogtl.,SN
aerzen.de,City,Non-Federal Agency,Aerzen,NI
affalterbach.de,City,Non-Federal Agency,Affalterbach,BW
affing.de,City,Non-Federal Agency,Affing,BY
affinghausen.de,City,Non-Federal Agency,Affinghausen,NI
agethorst.de,City,Non-Federal Agency,Agethorst,SH
aglasterhausen.de,City,Non-Federal Agency,Aglasterhausen,BW
ahaus.de,City,Non-Federal Agency,Ahaus,NW
ahlden.de,City,Non-Federal Agency,Ahlden (Aller),NI
ahlen.de,City,Non-Federal Agency,Ahlen,NW
ahlerstedt.de,City,Non-Federal Agency,Ahlerstedt,NI
ahnatal.de,City,Non-Federal Agency,Ahnatal,HE
ahneby.de,City,Non-Federal Agency,Ahneby,SH
ahnsbeck.de,City,Non-Federal Agency,Ahnsbeck,NI
aholming.de,City,Non-Federal Agency,Aholming,BY
ahorn.de,City,Non-Federal Agency,Ahorn,BY
ahorntal.de,City,Non-Federal Agency,Ahorntal,BY
ahrensboek.de,City,Non-Federal Agency,Ahrensbök,SH
ahrensburg.de,City,Non-Federal Agency,Ahrensburg,SH
ahrensfelde.de,City,Non-Federal Agency,Ahrensfelde,BB
ahrenshoeft.de,City,Non-Federal Agency,Ahrenshöft,SH
ahrenvioelfeld.de,City,Non-Federal Agency,Ahrenviölfeld,SH
aichach.de,City,Non-Federal Agency,Aichach,BY
aichavormwald.de,City,Non-Federal Agency,Aicha vorm Wald,BY
aichelberg.de,City,Non-Federal Agency,Aichelberg,BW
aichhalden.de,City,Non-Federal Agency,Aichhalden,BW
aichstetten.de,City,Non-Federal Agency,Aichstetten,BW
aichtal.de,City,Non-Federal Agency,Aichtal,BW
aidenbach.de,City,Non-Federal Agency,Aidenbach,BY
aidlingen.de,City,Non-Federal Agency,Aidlingen,BW
aindling.de,City,Non-Federal Agency,Aindling,BY
ainring.de,City,Non-Federal Agency,Ainring,BY
aislingen.de,City,Non-Federal Agency,Aislingen,BY
aiterhofen.de,City,Non-Federal Agency,Aiterhofen,BY
aitern.de,City,Non-Federal Agency,Aitern,BW
aitrach.de,City,Non-Federal Agency,Aitrach,BW
aitrang.de,City,Non-Federal Agency,Aitrang,BY
aken.de,City,Non-Federal Agency,Aken (Elbe),ST
albaching.de,City,Non-Federal Agency,Albaching,BY
albbruck.de,City,Non-Federal Agency,Albbruck,BW
albersdorf.de,City,Non-Federal Agency,Albersdorf,SH
albershausen.de,City,Non-Federal Agency,Albershausen,BW
albersweiler.de,City,Non-Federal Agency,Albersweiler,RP
albisheim-pfrimm.de,City,Non-Federal Agency,Albisheim,RP
albstadt.de,City,Non-Federal Agency,Albstadt,BW
aldenhoven.de,City,Non-Federal Agency,Aldenhoven,NW
aldersbach.de,City,Non-Federal Agency,Aldersbach,BY
aldingen.de,City,Non-Federal Agency,Aldingen,BW
alerheim.de,City,Non-Federal Agency,Alerheim,BY
alesheim.de,City,Non-Federal Agency,Alesheim,BY
