# Source: BKA via IFG, answered on 2016-04-12: https://fragdenstaat.de/anfrage/registrierte-domains-des-bundeskriminalamts/
bka.de,Bundeskriminalamt
bundeskriminalamt.de,Bundeskriminalamt
bundeskriminalamt.eu,Bundeskriminalamt
bundeskriminalamt.org,Bundeskriminalamt
bundeskriminalamt.net,Bundeskriminalamt
bundeskriminalamt.info,Bundeskriminalamt
bundescriminalamt.de,Bundeskriminalamt
polizei.de,Bundeskriminalamt
polizei-info.de,Bundeskriminalamt
polizei-deutschland.de,Bundeskriminalamt
polizei-deutschland.eu,Bundeskriminalamt
deutsche-polizei.eu,Bundeskriminalamt
bka-bund.de,Bundeskriminalamt
european-enet.org,Bundeskriminalamt
innerersicherheitsfonds.de,Bundeskriminalamt
