# Source: BMAS via IFG, answered on 2015-08-19: https://fragdenstaat.de/anfrage/registrierte-domains-in-maschinenlesbarer-form-1/
60jahresozialstaat.de,Bundesministerium für Arbeit und Soziales
60-jahre-sozialstaat.de,Bundesministerium für Arbeit und Soziales
adele-esf.de,Bundesministerium für Arbeit und Soziales
allianz-fuer-arbeitskraefte.de,Bundesministerium für Arbeit und Soziales
allianz-fuer-fachkraefte.de,Bundesministerium für Arbeit und Soziales
allianz-für-arbeitskräfte.de,Bundesministerium für Arbeit und Soziales
allianz-für-fachkräfte.de,Bundesministerium für Arbeit und Soziales
altersvorsorgemachtschule.com,Bundesministerium für Arbeit und Soziales
altersvorsorge-macht-schule.com,Bundesministerium für Arbeit und Soziales
altersvorsorgemachtschule.de,Bundesministerium für Arbeit und Soziales
altersvorsorge-macht-schule.de,Bundesministerium für Arbeit und Soziales
altersvorsorgemachtschule.info,Bundesministerium für Arbeit und Soziales
altersvorsorge-macht-schule.info,Bundesministerium für Arbeit und Soziales
altersvorsorgemachtschule.net,Bundesministerium für Arbeit und Soziales
altersvorsorge-macht-schule.net,Bundesministerium für Arbeit und Soziales
altersvorsorgemachtschule.org,Bundesministerium für Arbeit und Soziales
altersvorsorge-macht-schule.org,Bundesministerium für Arbeit und Soziales
arb-5.de,Bundesministerium für Arbeit und Soziales
arbeit-4-null.de,Bundesministerium für Arbeit und Soziales
arbeit-4-punkt-null.de,Bundesministerium für Arbeit und Soziales
arbeitderzukunft.de,Bundesministerium für Arbeit und Soziales
arbeiten-4-0.de,Bundesministerium für Arbeit und Soziales
arbeiten4null.de,Bundesministerium für Arbeit und Soziales
arbeiten-4-null.de,Bundesministerium für Arbeit und Soziales
arbeiten4punktnull.de,Bundesministerium für Arbeit und Soziales
arbeiten-4-punkt-null.de,Bundesministerium für Arbeit und Soziales
arbeitenbis67.de,Bundesministerium für Arbeit und Soziales
arbeiten-bis-67.de,Bundesministerium für Arbeit und Soziales
arbeitenviernull.de,Bundesministerium für Arbeit und Soziales
arbeitenvierpunktnull.de,Bundesministerium für Arbeit und Soziales
arbeiten-vier-punkt-null.de,Bundesministerium für Arbeit und Soziales
arbeit-psyche.de,Bundesministerium für Arbeit und Soziales
arbeitsmarktreform.de,Bundesministerium für Arbeit und Soziales
arbeitsministerium.eu,Bundesministerium für Arbeit und Soziales
arbeitsschutz-forschung.de,Bundesministerium für Arbeit und Soziales
arbeitvierpunktnull.de,Bundesministerium für Arbeit und Soziales
arbeit-vier-punkt-null.de,Bundesministerium für Arbeit und Soziales
armutsbericht.de,Bundesministerium für Arbeit und Soziales
armutsundreichtumsbericht.de,Bundesministerium für Arbeit und Soziales
armuts-und-reichtumsbericht.de,Bundesministerium für Arbeit und Soziales
armuts-und-reichtums-bericht.de,Bundesministerium für Arbeit und Soziales
ba-reform.de,Bundesministerium für Arbeit und Soziales
behindern-ist-heilbar.de,Bundesministerium für Arbeit und Soziales
beschaeftigtebeteiligen.de,Bundesministerium für Arbeit und Soziales
beschaeftigte-beteiligen.de,Bundesministerium für Arbeit und Soziales
beschaeftigung-aelterer.de,Bundesministerium für Arbeit und Soziales
beschäftigtebeteiligen.de,Bundesministerium für Arbeit und Soziales
beschäftigte-beteiligen.de,Bundesministerium für Arbeit und Soziales
beschäftigung-gestalten.de,Bundesministerium für Arbeit und Soziales
bildungspaket-bmas.de,Bundesministerium für Arbeit und Soziales
bitvlotse.de,Bundesministerium für Arbeit und Soziales
bitv-lotse.de,Bundesministerium für Arbeit und Soziales
bma.de,Bundesministerium für Arbeit und Soziales
bmas.de,Bundesministerium für Arbeit und Soziales
bmas.eu,Bundesministerium für Arbeit und Soziales
bmas.mobi,Bundesministerium für Arbeit und Soziales
bmas-alleinerziehende.de,Bundesministerium für Arbeit und Soziales
budget.bmas.de,Bundesministerium für Arbeit und Soziales
budget.bmas.mobi,Bundesministerium für Arbeit und Soziales
bundesarbeitsministerium.de,Bundesministerium für Arbeit und Soziales
bundesarbeitsministerium.eu,Bundesministerium für Arbeit und Soziales
bundesministerium-fuer-arbeit-und-soziales.eu,Bundesministerium für Arbeit und Soziales
