# Source: BVA via IFG, answered on 2015-09-24: https://fragdenstaat.de/anfrage/registrierte-domains-in-maschinenlesbarer-form-6/
ausbildungsportal.org,Bundesverwaltungsamt
auslandschulwesen.de,Bundesverwaltungsamt
auslandsschulportal.de,Bundesverwaltungsamt
auslandsschulwesen.de,Bundesverwaltungsamt
auslandsschulwesen.net,Bundesverwaltungsamt
auslandsschulwesen.eu,Bundesverwaltungsamt
auswanderungswesen.de,Bundesverwaltungsamt
bafoeg-rueckzahlung.de,Bundesverwaltungsamt
bildungskredit.de,Bundesverwaltungsamt
bund.services,Bundesverwaltungsamt
bundesstelle-fuer-informationstechnik.de,Bundesverwaltungsamt
bundesverwaltungsamt.de,Bundesverwaltungsamt
bva.services,Bundesverwaltungsamt
bva-bund.de,Bundesverwaltungsamt
bva-dienstleistungszentrum.de,Bundesverwaltungsamt
caf-netzwerk.de,Bundesverwaltungsamt
dienstleistungszentrum.de,Bundesverwaltungsamt
dienstreisezentrum.de,Bundesverwaltungsamt
doi-de.net,Bundesverwaltungsamt
doi-sec-de.net,Bundesverwaltungsamt
dsd-weltweit.de,Bundesverwaltungsamt
dvdv.de,Bundesverwaltungsamt
favorit.de,Bundesverwaltungsamt
fons-civitatis.de,Bundesverwaltungsamt
government-site-builder.de,Bundesverwaltungsamt
orghandbuch.de,Bundesverwaltungsamt
personalausweisportal.de,Bundesverwaltungsamt
registerfactory.de,Bundesverwaltungsamt
register-factory.de,Bundesverwaltungsamt
testa-de.net,Bundesverwaltungsamt
verwaltungsmodernisierung.de,Bundesverwaltungsamt
verwaltungsservicezentrum.de,Bundesverwaltungsamt
wwwbund.de,Bundesverwaltungsamt
zuwes.de,Bundesverwaltungsamt
bva.website,Bundesverwaltungsamt
isyfact.de,Bundesverwaltungsamt
isyfact-standards.de,Bundesverwaltungsamt
anticorruption.help,Bundesverwaltungsamt
anti-corruption.help,Bundesverwaltungsamt
v-modell-xt.de,Bundesverwaltungsamt
bafoeg.online,Bundesverwaltungsamt
bildungskredit.online,Bundesverwaltungsamt
dsd.online,Bundesverwaltungsamt
bund.online,Bundesverwaltungsamt
