# Source: DNS-Lookup of 77.87.224.0/21 sites manually visited; 2016-05-11
aktionsplan-allergien.de,Bundesamt für Verbraucherschutz und Lebensmittelsicherheit
asse.bund.de,Bundesamt für Strahlenschutz
aussiedlerbeauftragter.de,Beauftragter für Aussiedlerfragen und nationale Minderheiten
banu.bund.de,Informationstechnikzentrum Bund
bdbos.bund.de,Bundesanstalt für den Digitalfunk der Behörden und Organisationen mit Sicherheitsaufgaben
bevoelkerungsschutz.de,Bundesamt für Bevölkerungsschutz und Katastrophenhilfe
bezuegerechner.bva.bund.de,Bundesverwaltungsamt
bfdi.bund.de,Die Bundesbeauftragte für den Datenschutz und die Informationsfreiheit
bfr.bund.de,Bundesinstitut für Risikobewertung
bisp.de,Bundesinstitut für Sportwissenschaft
bit.bund.de,Informationstechnikzentrum Bund
bitv-lotse.bund.de,Bundesministerium für Arbeit und Soziales
ble.de,Bundesanstalt für Landwirtschaft und Ernährung
bpb.de,Bundeszentrale für politische Bildung
bsg.bund.de,Bundessozialgericht
bund.de,Bundesverwaltungsamt
cert-bund.de,Bundesamt für Sicherheit in der Informationstechnik
CIEC-Deutschland.de,Bundesministerium des Innern
cio.bund.de,Der Beauftragte der Bundesregierung für Informationstechnik
dehst.de,Deutsche Emissionshandelsstelle
dienstleistungszentrum.de,Bundesverwaltungsamt
evergabe-online.info,Beschaffungsamt des Bundesministeriums des Innern
integration-in-deutschland.de,Bundesamt für Migration und Flüchtlinge
kbst.bund.de,Der Beauftragte der Bundesregierung für Informationstechnik
lernplattform.bund.de,Hochschule des Bundes für öffentliche Verwaltung
oss.bund.de,Sozialwerk der Inneren Verwaltung des Bundes e.V.
personenstandsrecht.de,Bundesministerium des Innern
rki.de,Robert Koch-Institut
sozialwerk.bund.de,Sozialwerk der Inneren Verwaltung des Bundes e.V.
thw.de,Bundesanstalt Technisches Hilfswerk
vertreterdesbundesinteresses.de,Vertreter des Bundesinteresses beim Bundesverwaltungsgericht
vertreter-des-bundesinteresses.de,Vertreter des Bundesinteresses beim Bundesverwaltungsgericht
x500.bund.de,Bundesamt für Sicherheit in der Informationstechnik
zivildienst.de,Bundesamt für Familie und zivilgesellschaftliche Aufgaben
